"Date","Open","High","Low","Close","Volume"
"2017-12-29","33.65","34.53","31.19","31.48","832851"
"2017-12-28","30.17","33.78","30.17","33.6","1001717"
"2017-12-27","29.69","31.6","29.69","30.32","920571"
"2017-12-26","28.58","30.23","28.06","29.5","728741"
"2017-12-22","26.96","28.67","26.25","27.93","549209"
"2017-12-21","28.43","28.43","26.0","26.88","489449"
"2017-12-20","27.72","27.81","26.5847","27.28","902895"
"2017-12-19","26.96","28.47","25.2628","26.15","1526218"
"2017-12-18","21.5","27.14","20.59","25.46","3023856"
"2017-12-15","20.66","21.33","19.84","20.86","856954"
"2017-12-14","20.63","20.79","20.01","20.46","232404"
"2017-12-13","20.25","20.7589","20.03","20.59","242576"
"2017-12-12","20.18","20.6882","19.88","20.24","405338"
"2017-12-11","20.06","20.24","19.62","20.11","275041"
"2017-12-08","20.36","20.5","19.74","20.06","501123"
"2017-12-07","21.25","21.4","20.51","20.76","198856"
"2017-12-06","21.19","21.475","21.01","21.2","117146"
"2017-12-05","21.32","21.75","21.01","21.14","109601"
"2017-12-04","20.99","21.3999","20.4","21.2","273485"
"2017-12-01","22.25","22.26","20.72","20.72","500874"
"2017-11-30","21.64","22.09","21.11","22.02","529759"
"2017-11-29","21.21","21.51","21.16","21.48","435166"
"2017-11-28","21.15","21.49","21.075","21.21","440185"
"2017-11-27","22.0","22.0","20.75","21.19","376736"
"2017-11-24","21.67","21.818","20.87","21.16","69669"
"2017-11-22","20.8","21.5","20.55","21.5","260435"
"2017-11-21","19.9","20.94","19.83","20.67","903391"
"2017-11-20","19.96","20.08","19.68","19.69","354899"
"2017-11-17","20.14","20.18","19.9","20.02","305946"
"2017-11-16","20.25","20.26","19.75","20.05","2162636"
"2017-11-15","21.9","22.18","20.56","21.24","299330"
"2017-11-14","22.5","23.0","21.9","22.22","212135"
"2017-11-13","22.7","23.32","22.4","23.25","84297"
"2017-11-10","22.28","22.949","22.28","22.6","70312"
"2017-11-09","22.5","22.69","22.31","22.4","68249"
"2017-11-08","22.61","23.19","22.375","22.69","65780"
"2017-11-07","22.6","23.5","22.48","22.58","124427"
"2017-11-06","22.75","23.068","22.38","22.47","95042"
"2017-11-03","22.79","24.421","22.14","22.66","292914"
"2017-11-02","22.97","24.4","22.655","24.32","159843"
"2017-11-01","23.19","23.76","22.81","22.91","137785"
"2017-10-31","23.09","23.391","22.73","23.1","91510"
"2017-10-30","23.44","23.74","22.805","22.95","110459"
"2017-10-27","23.47","23.663","22.85","23.27","156463"
"2017-10-26","22.39","23.93","22.39","23.02","162789"
"2017-10-25","22.5","23.175","22.1","22.27","152167"
"2017-10-24","22.12","23.47","22.0","22.49","87418"
"2017-10-23","23.0","23.2","21.94","22.25","168166"
"2017-10-20","23.0","24.01","23.0","23.11","81371"
"2017-10-19","23.0","23.23","22.88","23.0","93121"
"2017-10-18","23.42","23.5","22.77","23.02","171165"
"2017-10-17","23.5","23.5","23.25","23.26","63466"
"2017-10-16","23.65","23.89","23.3","23.32","53579"
"2017-10-13","23.83","24.14","23.45","23.69","87343"
"2017-10-12","23.32","24.4","23.28","23.69","79320"
"2017-10-11","23.54","23.915","23.13","23.28","123873"
"2017-10-10","24.53","24.98","23.176","23.29","196821"
"2017-10-09","24.27","25.27","24.164","24.36","109361"
"2017-10-06","23.64","24.5","23.31","24.16","89054"
"2017-10-05","23.22","24.8","22.85","23.49","254029"
"2017-10-04","24.41","24.479","22.85","22.98","324373"
"2017-10-03","24.68","24.93","23.56","24.14","248219"
"2017-10-02","27.77","27.89","23.17","24.01","678054"
"2017-09-29","26.53","28.65","25.3","28.46","342963"
"2017-09-28","23.27","25.24","23.04","25.08","221647"
"2017-09-27","23.0","23.44","23.0","23.35","63418"
"2017-09-26","22.31","23.7","22.02","22.95","67299"
"2017-09-25","23.0","23.564","21.83","22.33","128457"
"2017-09-22","23.12","23.415","22.78","22.88","61802"
"2017-09-21","23.62","23.763","22.43","23.15","133776"
"2017-09-20","25.13","25.26","23.47","23.7","170793"
"2017-09-19","25.3","25.52","25.05","25.05","95514"
"2017-09-18","25.88","26.56","24.809","25.07","138280"
"2017-09-15","26.47","26.7","25.74","25.79","187616"
"2017-09-14","26.0","26.86","25.5","26.43","113105"
"2017-09-13","27.06","27.595","25.815","25.95","114304"
"2017-09-12","27.32","27.894","26.451","27.03","102514"
"2017-09-11","26.48","27.364","25.86","27.09","136228"
"2017-09-08","25.97","26.39","25.27","26.15","174530"
"2017-09-07","24.75","26.99","24.03","25.82","161652"
"2017-09-06","23.79","25.26","22.75","24.83","199301"
"2017-09-05","22.24","23.8","22.21","23.64","228353"
"2017-09-01","23.17","23.17","22.08","22.24","82987"
"2017-08-31","23.04","23.2759","22.5061","22.89","132498"
"2017-08-30","22.69","22.89","22.35","22.81","85907"
"2017-08-29","22.8","23.15","22.44","22.45","128953"
"2017-08-28","21.9","22.86","21.618","22.54","258043"
"2017-08-25","21.59","21.9","21.149","21.88","173675"
"2017-08-24","21.41","21.861","20.9","21.42","121050"
"2017-08-23","20.51","21.85","20.51","21.26","219948"
"2017-08-22","20.59","21.0","20.14","20.68","96090"
"2017-08-21","20.47","20.627","20.25","20.42","41571"
"2017-08-18","20.15","20.54","20.11","20.52","52548"
"2017-08-17","20.61","20.64","20.15","20.25","92033"
"2017-08-16","20.69","20.9699","20.1607","20.61","61647"
"2017-08-15","20.65","21.015","20.18","20.56","75046"
"2017-08-14","20.72","21.0957","20.106","20.77","67028"
"2017-08-11","19.91","20.57","19.87","20.46","121174"
"2017-08-10","21.47","21.5958","19.71","19.89","177610"
"2017-08-09","22.25","22.8799","21.36","21.45","158151"
"2017-08-08","21.9","23.28","21.4475","22.3","234256"
"2017-08-07","19.76","22.428","19.61","22.17","289188"
"2017-08-04","19.0","20.02","18.45","19.71","418620"
"2017-08-03","19.78","20.84","19.68","20.84","293856"
"2017-08-02","20.81","20.84","19.27","19.61","245219"
"2017-08-01","19.63","20.48","19.455","20.31","129062"
"2017-07-31","19.51","19.83","19.09","19.56","187967"
"2017-07-28","19.68","19.74","19.02","19.51","336753"
"2017-07-27","20.56","20.56","19.5","19.79","114520"
"2017-07-26","20.2","20.63","19.7601","20.5","104130"
"2017-07-25","20.06","20.5","20.05","20.25","72974"
"2017-07-24","20.5","20.74","19.51","19.98","129019"
"2017-07-21","21.25","21.493","20.15","20.53","95700"
"2017-07-20","21.1","21.4","21.0934","21.22","62968"
"2017-07-19","21.16","21.3501","20.72","20.97","154100"
"2017-07-18","20.38","21.249","20.051","20.95","208180"
